CoC_Number,State,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Homeless_People_in_Families,Chronically_Homeless,Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_18,Count_Year
OK-502,OK,Oklahoma City CoC,1300,908,192,0,1100,200,1063,237,214,125,2,2015
OK-502,OK,Oklahoma City CoC,1303,630,312,0,942,361,1069,234,235,155,,2012
OK-503,OK,Oklahoma Balance of State CoC,432,100,39,0,139,293,151,281,36,1,11,2017
OK-503,OK,Oklahoma Balance of State CoC,233,78,0,0,78,155,47,186,42,5,1,2018
OK-503,OK,Oklahoma Balance of State CoC,295,89,25,0,114,181,153,142,71,3,0,2016
OK-503,OK,Oklahoma Balance of State CoC,272,113,36,0,149,123,155,117,39,9,,2013
OK-503,OK,Oklahoma Balance of State CoC,295,140,14,0,154,141,137,158,40,2,,2014
OK-503,OK,Oklahoma Balance of State CoC,237,95,26,0,121,116,157,80,50,8,1,2015
OK-503,OK,Oklahoma Balance of State CoC,571,95,49,0,144,427,285,286,32,22,,2012
OK-504,OK,Norman/Cleveland County CoC,174,79,19,0,98,76,155,19,111,10,0,2017
OK-504,OK,Norman/Cleveland County CoC,368,60,153,0,213,155,243,125,44,9,,2013
OK-504,OK,Norman/Cleveland County CoC,140,91,27,0,118,22,73,67,48,6,,2014
OK-504,OK,Norman/Cleveland County CoC,616,37,123,0,160,456,433,183,44,2,,2012
OK-504,OK,Norman/Cleveland County CoC,138,72,20,0,92,46,118,20,60,12,0,2016
OK-504,OK,Norman/Cleveland County CoC,364,76,61,0,137,227,331,33,303,15,0,2018
OK-504,OK,Norman/Cleveland County CoC,133,89,28,0,117,16,102,31,30,12,1,2015
OK-505,OK,Northeast Oklahoma CoC,487,288,30,0,318,169,304,183,112,26,,2013
OK-505,OK,Northeast Oklahoma CoC,343,272,47,0,319,24,206,137,87,23,10,2015
OK-505,OK,Northeast Oklahoma CoC,342,216,61,0,277,65,217,125,92,14,,2012
OK-505,OK,Northeast Oklahoma CoC,392,293,48,0,341,51,232,160,93,15,14,2018
OK-505,OK,Northeast Oklahoma CoC,368,292,50,0,342,26,237,131,35,17,12,2016
OK-505,OK,Northeast Oklahoma CoC,383,259,41,0,300,83,260,123,103,51,,2014
OK-505,OK,Northeast Oklahoma CoC,377,280,45,0,325,52,209,168,41,19,12,2017
OK-506,OK,Southwest Oklahoma Regional CoC,191,96,54,0,150,41,114,77,0,29,0,2018
OK-506,OK,Southwest Oklahoma Regional CoC,187,93,54,0,147,40,103,84,15,33,0,2016
OK-506,OK,Southwest Oklahoma Regional CoC,239,96,81,0,177,62,158,81,30,25,,2014
OK-506,OK,Southwest Oklahoma Regional CoC,231,88,81,0,169,62,150,81,0,25,0,2017
OK-506,OK,Southwest Oklahoma Regional CoC,196,99,60,0,159,37,111,85,8,30,,2013
OK-506,OK,Southwest Oklahoma Regional CoC,161,56,64,0,120,41,115,46,26,28,0,2015
OK-506,OK,Southwest Oklahoma Regional CoC,396,186,38,9,233,163,221,175,6,16,,2012
OK-507,OK,Southeastern Oklahoma Regional CoC,579,223,41,0,264,315,317,262,48,15,,2012
OK-507,OK,Southeastern Oklahoma Regional CoC,436,200,17,0,217,219,345,91,65,19,26,2016
OK-507,OK,Southeastern Oklahoma Regional CoC,453,216,21,0,237,216,317,136,52,24,60,2015
OK-507,OK,Southeastern Oklahoma Regional CoC,525,260,63,0,323,202,321,204,54,12,,2013
OK-507,OK,Southeastern Oklahoma Regional CoC,351,206,0,0,206,145,249,102,75,40,15,2017
OK-507,OK,Southeastern Oklahoma Regional CoC,244,185,2,0,187,57,185,59,44,14,9,2018
OK-507,OK,Southeastern Oklahoma Regional CoC,442,212,13,0,225,217,240,202,73,21,,2014
OR-500,OR,"Eugene, Springfield/Lane County CoC",1751,388,261,0,649,1102,1404,347,415,229,,2013
OR-500,OR,"Eugene, Springfield/Lane County CoC",1529,442,84,0,526,1003,1260,269,640,164,9,2017
OR-500,OR,"Eugene, Springfield/Lane County CoC",1451,405,112,0,517,934,1227,224,574,162,13,2016
OR-500,OR,"Eugene, Springfield/Lane County CoC",2057,392,259,0,651,1406,1539,518,628,264,,2012
OR-500,OR,"Eugene, Springfield/Lane County CoC",1641,412,95,0,507,1134,1390,251,712,173,25,2018
OR-500,OR,"Eugene, Springfield/Lane County CoC",1473,656,101,0,757,716,1250,223,697,210,23,2015
OR-500,OR,"Eugene, Springfield/Lane County CoC",1767,338,327,0,665,1102,1352,415,412,230,,2014
OR-501,OR,"Portland, Gresham/Multnomah County CoC",4177,1752,757,0,2509,1668,3520,657,1290,445,14,2017
OR-501,OR,"Portland, Gresham/Multnomah County CoC",4019,1804,547,0,2351,1668,3394,625,1384,448,13,2018
OR-501,OR,"Portland, Gresham/Multnomah County CoC",3801,872,1042,0,1914,1887,3132,669,1033,417,5,2015
OR-501,OR,"Portland, Gresham/Multnomah County CoC",3927,679,1353,0,2032,1895,3115,812,1102,412,,2014
OR-501,OR,"Portland, Gresham/Multnomah County CoC",4423,892,1817,0,2709,1714,2918,1505,1090,380,,2012
OR-501,OR,"Portland, Gresham/Multnomah County CoC",3914,1237,790,0,2027,1887,3209,705,1053,420,4,2016
OR-501,OR,"Portland, Gresham/Multnomah County CoC",4441,974,1572,0,2546,1895,3183,1258,1150,413,,2013
OR-502,OR,"Medford, Ashland/Jackson County CoC",732,240,163,0,403,329,624,108,259,116,15,2018
OR-502,OR,"Medford, Ashland/Jackson County CoC",527,151,137,0,288,239,447,80,184,76,31,2016
OR-502,OR,"Medford, Ashland/Jackson County CoC",625,252,147,0,399,226,501,124,84,241,,2014
OR-502,OR,"Medford, Ashland/Jackson County CoC",633,213,156,0,369,264,525,108,170,95,17,2017
OR-502,OR,"Medford, Ashland/Jackson County CoC",691,159,277,5,441,250,560,131,172,136,,2012
OR-502,OR,"Medford, Ashland/Jackson County CoC",548,237,199,0,436,112,472,76,172,226,,2013
OR-502,OR,"Medford, Ashland/Jackson County CoC",729,122,225,0,347,382,620,109,234,214,11,2015
OR-503,OR,Central Oregon CoC,787,191,41,0,232,555,588,199,172,60,15,2018
OR-503,OR,Central Oregon CoC,506,126,135,0,261,245,316,190,137,40,,2013
OR-503,OR,Central Oregon CoC,568,107,216,0,323,245,292,276,130,37,,2014
OR-503,OR,Central Oregon CoC,602,156,41,0,197,405,386,216,218,62,5,2016
OR-503,OR,Central Oregon CoC,594,138,51,0,189,405,383,211,222,59,12,2015
OR-503,OR,Central Oregon CoC,778,181,49,0,230,548,494,284,246,83,7,2017
OR-503,OR,Central Oregon CoC,808,107,169,0,276,532,460,348,131,82,,2012
OR-505,OR,Oregon Balance of State CoC,5710,1077,782,0,1859,3851,3429,2281,1078,525,179,2016
OR-505,OR,Oregon Balance of State CoC,5525,969,1225,5,2199,3326,2978,2547,901,459,,2013
OR-505,OR,Oregon Balance of State CoC,6105,934,1097,4,2035,4070,3342,2763,949,314,,2012
OR-505,OR,Oregon Balance of State CoC,6392,1042,816,0,1858,4534,4419,1973,1503,474,243,2018
OR-505,OR,Oregon Balance of State CoC,5795,1036,990,0,2026,3769,3902,1893,737,379,460,2017
OR-505,OR,Oregon Balance of State CoC,5544,1257,985,0,2242,3302,3320,2224,1457,448,323,2015
OR-505,OR,Oregon Balance of State CoC,4122,1272,1072,0,2344,1778,2114,2008,653,260,,2014
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",544,56,112,7,175,369,348,196,150,58,8,2017
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",432,66,126,8,200,232,303,129,77,91,,2013
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",751,87,212,10,309,442,399,352,160,103,,2012
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",522,65,90,8,163,359,407,115,166,71,6,2018
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",591,71,116,9,196,395,399,192,128,77,13,2015
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",571,74,111,8,193,378,383,188,142,63,3,2016
OR-506,OR,"Hillsboro, Beaverton/Washington County CoC",537,82,106,10,198,339,281,256,117,76,,2014
OR-507,OR,Clackamas County CoC,993,29,95,0,124,869,570,423,172,77,,2012
OR-507,OR,Clackamas County CoC,463,38,117,0,155,308,298,165,211,33,1,2016
OR-507,OR,Clackamas County CoC,619,40,101,0,141,478,338,281,191,36,,2013
OR-507,OR,Clackamas County CoC,383,3,34,0,37,346,317,66,125,21,0,2018
OR-507,OR,Clackamas County CoC,497,87,64,0,151,346,385,112,154,27,0,2017
OR-507,OR,Clackamas County CoC,618,37,103,0,140,478,333,285,197,36,,2014
OR-507,OR,Clackamas County CoC,494,98,88,0,186,308,357,137,240,39,1,2015
PA-500,PA,Philadelphia CoC,5998,3558,1661,109,5328,670,3346,2652,829,337,13,2015
PA-500,PA,Philadelphia CoC,5693,3275,1378,84,4737,956,3341,2352,898,244,26,2017
PA-500,PA,Philadelphia CoC,5738,3642,1622,113,5377,361,3109,2629,702,357,,2014
PA-500,PA,Philadelphia CoC,6112,3656,1674,77,5407,705,3430,2682,853,293,20,2016
PA-500,PA,Philadelphia CoC,5780,3324,1890,66,5280,500,2976,2804,1037,394,,2012
PA-500,PA,Philadelphia CoC,5788,3420,1050,235,4705,1083,3589,2199,943,239,36,2018
PA-500,PA,Philadelphia CoC,5645,3238,1782,99,5119,526,3070,2575,633,440,,2013
PA-501,PA,Harrisburg/Dauphin County CoC,445,263,125,22,410,35,260,185,47,39,0,2018
PA-501,PA,Harrisburg/Dauphin County CoC,386,178,136,14,328,58,235,151,65,45,,2012
PA-501,PA,Harrisburg/Dauphin County CoC,433,205,170,15,390,43,235,198,42,50,0,2016
PA-501,PA,Harrisburg/Dauphin County CoC,390,184,143,15,342,48,214,176,76,37,,2013
PA-501,PA,Harrisburg/Dauphin County CoC,460,238,130,22,390,70,309,151,45,39,0,2017
PA-501,PA,Harrisburg/Dauphin County CoC,402,199,166,21,386,16,204,198,50,44,0,2015
PA-501,PA,Harrisburg/Dauphin County CoC,396,192,138,27,357,39,237,159,50,49,,2014
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",453,311,102,0,413,40,251,202,26,11,0,2017
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",509,280,182,0,462,47,257,252,46,20,,2014
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",546,292,209,0,501,45,251,295,38,27,,2013
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",406,283,88,0,371,35,247,159,26,8,0,2016
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",414,290,71,0,361,53,234,180,33,6,0,2018
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",604,356,210,0,566,38,244,360,64,17,,2012
PA-502,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",436,285,91,0,376,60,276,160,41,10,0,2015
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",174,82,89,0,171,3,82,92,0,15,0,2017
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",165,78,81,0,159,6,95,70,0,9,0,2018
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",169,82,78,0,160,9,109,60,2,16,0,2016
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",165,65,88,0,153,12,106,59,3,21,,2013
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",178,61,112,0,173,5,94,84,5,22,,2012
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",192,83,97,0,180,12,115,77,0,15,,2014
PA-503,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",174,77,81,0,158,16,100,74,0,13,1,2015
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",464,185,266,0,451,13,184,280,18,13,,2013
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",419,199,197,0,396,23,148,271,52,12,,2012
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",429,197,229,0,426,3,180,249,37,6,0,2015
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",291,226,45,0,271,20,141,150,20,8,0,2018
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",310,192,99,0,291,19,131,179,40,13,0,2017
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",398,229,149,0,378,20,163,235,17,9,0,2016
PA-504,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",438,212,220,0,432,6,195,243,28,6,,2014
PA-505,PA,Chester County CoC,578,260,294,0,554,24,387,191,12,224,0,2017
PA-505,PA,Chester County CoC,691,244,415,8,667,24,476,215,69,304,,2012
PA-505,PA,Chester County CoC,641,240,350,8,598,43,498,143,72,259,,2013
PA-505,PA,Chester County CoC,558,198,355,0,553,5,385,173,7,231,5,2016
PA-505,PA,Chester County CoC,679,267,365,8,640,39,498,181,79,288,,2014
PA-505,PA,Chester County CoC,579,266,300,0,566,13,365,214,11,206,0,2018
PA-505,PA,Chester County CoC,612,250,347,0,597,15,428,184,0,299,0,2015
PA-506,PA,Reading/Berks County CoC,468,243,212,0,455,13,276,192,88,32,,2013
PA-506,PA,Reading/Berks County CoC,340,158,165,0,323,17,216,124,55,30,,2012
PA-506,PA,Reading/Berks County CoC,534,290,231,0,521,13,366,168,2,38,0,2017
PA-506,PA,Reading/Berks County CoC,562,305,246,0,551,11,406,156,5,39,0,2018
PA-506,PA,Reading/Berks County CoC,521,259,259,0,518,3,356,165,19,29,0,2016
PA-506,PA,Reading/Berks County CoC,604,301,292,0,593,11,383,221,68,43,,2014
PA-506,PA,Reading/Berks County CoC,561,287,270,0,557,4,385,176,83,42,0,2015
PA-508,PA,Scranton/Lackawanna County CoC,252,62,181,4,247,5,92,160,22,33,,2013
PA-508,PA,Scranton/Lackawanna County CoC,287,90,188,4,282,5,117,170,23,36,,2014
PA-508,PA,Scranton/Lackawanna County CoC,159,76,70,8,154,5,100,59,12,33,0,2018
PA-508,PA,Scranton/Lackawanna County CoC,197,56,123,4,183,14,98,99,13,26,0,2017
PA-508,PA,Scranton/Lackawanna County CoC,242,80,147,4,231,11,116,126,13,36,1,2016
PA-508,PA,Scranton/Lackawanna County CoC,233,68,151,4,223,10,117,116,28,36,0,2015
PA-508,PA,Scranton/Lackawanna County CoC,260,59,175,4,238,22,92,168,31,33,,2012
PA-509,PA,Eastern Pennsylvania CoC,1998,1032,620,0,1652,346,1108,890,91,97,14,2018
PA-509,PA,Eastern Pennsylvania CoC,2081,856,908,0,1764,317,974,1107,202,136,,2013
PA-509,PA,Eastern Pennsylvania CoC,2170,1004,761,0,1765,405,1209,961,156,82,18,2017
PA-509,PA,Eastern Pennsylvania CoC,1752,707,914,0,1621,131,664,1088,121,88,,2012
PA-509,PA,Eastern Pennsylvania CoC,2599,1061,935,0,1996,603,1391,1208,159,111,17,2016
PA-509,PA,Eastern Pennsylvania CoC,2410,1029,965,0,1994,416,1201,1209,164,150,4,2015
PA-509,PA,Eastern Pennsylvania CoC,2021,861,925,0,1786,235,955,1066,139,103,,2014
PA-510,PA,Lancaster City & County CoC,518,202,306,0,508,10,259,259,34,36,,2013
PA-510,PA,Lancaster City & County CoC,356,201,148,0,349,7,162,194,6,17,0,2016
PA-510,PA,Lancaster City & County CoC,562,200,353,0,553,9,241,321,49,68,,2012
PA-510,PA,Lancaster City & County CoC,321,181,114,0,295,26,180,141,6,23,0,2017
PA-510,PA,Lancaster City & County CoC,406,248,142,0,390,16,226,180,22,32,0,2018
PA-510,PA,Lancaster City & County CoC,378,150,218,0,368,10,194,184,7,28,0,2015
PA-510,PA,Lancaster City & County CoC,498,251,241,0,492,6,257,241,10,39,,2014
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",492,154,310,0,464,28,184,308,27,12,,2014
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",530,170,330,0,500,30,200,330,22,13,2,2016
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",397,155,223,0,378,19,194,203,25,13,0,2018
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",451,110,300,0,410,41,136,315,13,16,,2013
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",458,122,285,0,407,51,142,316,30,14,,2012
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",511,139,323,0,462,49,198,313,27,12,1,2017
PA-511,PA,"Bristol, Bensalem/Bucks County CoC",487,140,309,0,449,38,193,294,38,13,10,2015
PA-512,PA,York City & County CoC,284,141,118,0,259,25,129,155,51,15,,2012
PA-512,PA,York City & County CoC,324,177,114,0,291,33,167,157,13,11,0,2018
PA-512,PA,York City & County CoC,278,132,116,0,248,30,125,153,35,17,,2013
PA-512,PA,York City & County CoC,345,165,136,0,301,44,158,187,29,30,8,2015
PA-512,PA,York City & County CoC,302,162,110,0,272,30,163,139,47,15,,2014
PA-512,PA,York City & County CoC,288,116,127,0,243,45,134,154,12,9,8,2017
PA-512,PA,York City & County CoC,365,165,129,0,294,71,164,201,14,13,16,2016
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1492,369,964,68,1401,91,827,665,214,207,,2013
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1424,440,877,69,1386,38,919,505,154,216,0,2015
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1156,460,594,54,1108,48,755,401,94,167,0,2016
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1145,622,448,22,1092,53,756,389,131,102,0,2017
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",783,575,146,6,727,56,509,274,117,115,0,2018
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1573,493,897,75,1465,108,995,578,198,231,,2014
PA-600,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1376,430,822,68,1320,56,816,560,271,214,,2012
PA-601,PA,Western Pennsylvania CoC,1101,490,508,47,1045,56,600,501,135,174,,2014
PA-601,PA,Western Pennsylvania CoC,837,451,285,38,774,63,531,306,29,94,5,2017
PA-601,PA,Western Pennsylvania CoC,1170,521,504,35,1060,110,654,516,176,161,,2013
PA-601,PA,Western Pennsylvania CoC,1002,448,436,53,937,65,567,435,91,135,1,2015
PA-601,PA,Western Pennsylvania CoC,986,445,431,41,917,69,571,415,32,119,0,2016
PA-601,PA,Western Pennsylvania CoC,748,435,266,9,710,38,471,277,46,102,0,2018
PA-601,PA,Western Pennsylvania CoC,1097,499,490,42,1031,66,566,531,140,180,,2012
PA-603,PA,Beaver County CoC,90,21,66,0,87,3,49,41,15,2,,2013
PA-603,PA,Beaver County CoC,98,66,22,0,88,10,34,64,12,2,0,2017
PA-603,PA,Beaver County CoC,95,40,53,0,93,2,44,51,9,2,,2014
PA-603,PA,Beaver County CoC,117,79,32,0,111,6,67,50,3,4,0,2018
PA-603,PA,Beaver County CoC,131,71,54,0,125,6,58,73,8,1,0,2016
PA-603,PA,Beaver County CoC,110,28,77,0,105,5,65,45,8,2,,2012
PA-603,PA,Beaver County CoC,120,61,52,0,113,7,48,72,9,1,0,2015
PA-605,PA,Erie City & County CoC,435,223,160,0,383,52,258,177,42,25,,2013
PA-605,PA,Erie City & County CoC,408,215,146,0,361,47,250,158,46,21,,2014
PA-605,PA,Erie City & County CoC,410,222,166,6,394,16,289,121,30,15,0,2015
PA-605,PA,Erie City & County CoC,439,240,153,0,393,46,191,248,58,18,,2012
PA-605,PA,Erie City & County CoC,336,238,94,0,332,4,231,105,20,29,0,2018
PA-605,PA,Erie City & County CoC,369,241,120,0,361,8,264,105,29,29,2,2017
PA-605,PA,Erie City & County CoC,377,219,148,0,367,10,257,120,11,23,2,2016
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,1883,173,487,22,682,1201,1678,205,655,46,0,2017
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,2343,172,595,22,789,1554,2046,297,881,79,1,2016
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,1685,200,583,22,805,880,1348,337,1567,80,,2012
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,2085,222,675,21,918,1167,1746,339,634,28,,2014
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,1643,153,277,12,442,1201,1527,116,662,47,0,2018
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,2422,183,663,22,868,1554,2112,310,893,95,12,2015
PR-502,PR,Puerto Rico Balance of Commonwealth CoC,2094,188,718,21,927,1167,1789,305,659,28,,2013
PR-503,PR,South-Southeast Puerto Rico CoC,1642,223,104,4,331,1311,1463,179,423,48,3,2017
PR-503,PR,South-Southeast Puerto Rico CoC,2034,151,277,47,475,1559,1681,353,1471,54,,2013
PR-503,PR,South-Southeast Puerto Rico CoC,2075,171,326,35,532,1543,1753,322,891,67,5,2016
PR-503,PR,South-Southeast Puerto Rico CoC,1539,189,35,4,228,1311,1394,145,429,35,5,2018
PR-503,PR,South-Southeast Puerto Rico CoC,2096,216,296,41,553,1543,1817,279,863,69,1,2015
PR-503,PR,South-Southeast Puerto Rico CoC,1527,157,343,41,541,986,1146,381,1684,36,,2012
PR-503,PR,South-Southeast Puerto Rico CoC,2047,184,261,43,488,1559,1686,361,1429,59,,2014
RI-500,RI,Rhode Island Statewide CoC,1101,739,311,0,1050,51,747,354,264,103,0,2018
RI-500,RI,Rhode Island Statewide CoC,1111,743,332,0,1075,36,706,405,130,107,4,2015
RI-500,RI,Rhode Island Statewide CoC,1190,803,345,22,1170,20,779,411,204,108,,2014
RI-500,RI,Rhode Island Statewide CoC,1160,822,301,0,1123,37,859,301,144,89,0,2016
RI-500,RI,Rhode Island Statewide CoC,1384,850,400,17,1267,117,862,522,251,97,,2013
RI-500,RI,Rhode Island Statewide CoC,1180,807,304,0,1111,69,802,378,240,95,1,2017
RI-500,RI,Rhode Island Statewide CoC,1277,805,426,18,1249,28,788,489,154,96,,2012
SC-500,SC,Charleston/Low Country CoC,451,254,80,3,337,114,357,94,86,119,0,2018
SC-500,SC,Charleston/Low Country CoC,550,174,113,0,287,263,519,31,142,142,0,2016
SC-500,SC,Charleston/Low Country CoC,516,229,150,0,379,137,425,91,37,129,,2014
SC-500,SC,Charleston/Low Country CoC,733,181,151,0,332,401,635,98,105,177,,2013
SC-500,SC,Charleston/Low Country CoC,425,99,122,0,221,204,393,32,108,127,0,2017
SC-500,SC,Charleston/Low Country CoC,606,221,220,0,441,165,526,80,117,178,0,2015
SC-500,SC,Charleston/Low Country CoC,483,155,116,0,271,212,416,67,58,124,,2012
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1324,520,607,12,1139,185,786,538,57,115,,2012
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",2308,713,875,12,1600,708,1488,820,106,107,,2013
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1636,673,561,12,1246,390,1060,576,76,107,,2014
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1961,683,860,12,1555,406,1362,599,407,101,1,2015
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1317,681,238,13,932,385,898,419,230,73,0,2017
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1829,873,684,12,1569,260,1187,642,304,141,4,2016
SC-501,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",1185,705,132,12,849,336,916,269,181,79,4,2018
SC-502,SC,Columbia/Midlands CoC,2007,609,464,0,1073,934,1558,449,179,243,,2013
SC-502,SC,Columbia/Midlands CoC,1588,693,469,0,1162,426,1238,350,62,234,,2014
SC-502,SC,Columbia/Midlands CoC,1205,726,279,0,1005,200,954,251,248,146,4,2018
SC-502,SC,Columbia/Midlands CoC,1200,585,308,0,893,307,939,261,295,153,6,2017
SC-502,SC,Columbia/Midlands CoC,1648,559,387,0,946,702,1306,342,174,226,,2012
SC-502,SC,Columbia/Midlands CoC,1350,554,461,0,1015,335,1087,263,313,224,4,2016
SC-502,SC,Columbia/Midlands CoC,1468,574,492,0,1066,402,1189,279,319,221,4,2015
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1322,231,259,0,490,832,965,357,229,231,12,2016
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",974,254,115,0,369,605,666,308,191,127,2,2017
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1496,174,232,0,406,1090,1055,441,93,109,,2013
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1092,312,86,0,398,694,855,237,171,71,4,2018
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1319,161,235,0,396,923,857,462,177,181,8,2015
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1460,226,194,0,420,1040,819,641,239,78,,2012
SC-503,SC,"Myrtle Beach, Sumter City & County CoC",1317,187,275,0,462,855,1090,227,98,233,,2014
SD-500,SD,South Dakota Statewide CoC,943,590,182,0,772,171,611,332,144,130,19,2017
SD-500,SD,South Dakota Statewide CoC,1036,642,258,0,900,136,630,406,95,177,8,2015
SD-500,SD,South Dakota Statewide CoC,885,528,302,0,830,55,490,395,118,132,,2014
SD-500,SD,South Dakota Statewide CoC,1094,433,322,0,755,339,557,537,217,125,,2013
SD-500,SD,South Dakota Statewide CoC,859,514,281,0,795,64,512,347,138,124,,2012
SD-500,SD,South Dakota Statewide CoC,1072,616,271,0,887,185,548,524,44,120,9,2016
SD-500,SD,South Dakota Statewide CoC,1159,707,167,0,874,285,836,323,190,110,4,2018
TN-500,TN,Chattanooga/Southeast Tennessee CoC,576,298,61,0,359,217,452,124,192,54,0,2017
TN-500,TN,Chattanooga/Southeast Tennessee CoC,623,318,12,0,330,293,498,125,322,56,0,2018
TN-500,TN,Chattanooga/Southeast Tennessee CoC,591,280,142,0,422,169,389,202,102,50,,2013
TN-500,TN,Chattanooga/Southeast Tennessee CoC,636,375,114,0,489,147,430,206,126,82,0,2015
TN-500,TN,Chattanooga/Southeast Tennessee CoC,627,352,104,0,456,171,429,198,168,68,,2014
TN-500,TN,Chattanooga/Southeast Tennessee CoC,548,291,83,0,374,174,364,184,70,60,,2012
TN-500,TN,Chattanooga/Southeast Tennessee CoC,527,353,97,0,450,77,361,166,91,53,0,2016
TN-501,TN,Memphis/Shelby County CoC,1675,617,937,0,1554,121,1144,531,149,281,,2014
TN-501,TN,Memphis/Shelby County CoC,2076,487,1263,0,1750,326,1386,690,265,411,,2012
TN-501,TN,Memphis/Shelby County CoC,1816,461,1199,0,1660,156,1151,665,177,218,,2013
TN-501,TN,Memphis/Shelby County CoC,1669,723,825,0,1548,121,1121,548,106,240,11,2016
TN-501,TN,Memphis/Shelby County CoC,1226,598,526,0,1124,102,878,348,87,231,34,2018
TN-501,TN,Memphis/Shelby County CoC,1525,511,936,0,1447,78,1007,518,92,226,0,2015
TN-501,TN,Memphis/Shelby County CoC,1426,708,639,0,1347,79,915,511,66,213,8,2017
TN-502,TN,Knoxville/Knox County CoC,861,521,259,0,780,81,750,111,149,135,,2014
TN-502,TN,Knoxville/Knox County CoC,783,411,276,0,687,96,685,98,108,102,0,2015
TN-502,TN,Knoxville/Knox County CoC,743,336,221,0,557,186,674,69,177,66,5,2018
TN-502,TN,Knoxville/Knox County CoC,812,404,274,0,678,134,701,111,77,87,3,2017
TN-502,TN,Knoxville/Knox County CoC,993,440,410,0,850,143,897,96,167,99,,2013
TN-502,TN,Knoxville/Knox County CoC,748,399,268,0,667,81,674,74,134,102,1,2016
TN-502,TN,Knoxville/Knox County CoC,854,382,339,0,721,133,772,82,174,82,,2012
TN-503,TN,Central Tennessee CoC,268,148,96,0,244,24,185,83,46,38,1,2018
